tag,algo,precision,recall,auprc,prevalence
L1,enet,0.7195767195767195,1.0,0.8873031424096209,0.7195767195767195
L1,enet,0.723404255319149,1.0,0.8873031424096209,0.7195767195767195
L1,enet,0.7272727272727273,1.0,0.8873031424096209,0.7195767195767195
L1,enet,0.7311827956989247,1.0,0.8873031424096209,0.7195767195767195
L1,enet,0.7297297297297297,0.9926470588235294,0.8873031424096209,0.7195767195767195
L1,enet,0.7336956521739131,0.9926470588235294,0.8873031424096209,0.7195767195767195
L1,enet,0.73224043715847,0.9852941176470589,0.8873031424096209,0.7195767195767195
L1,enet,0.7362637362637363,0.9852941176470589,0.8873031424096209,0.7195767195767195
L1,enet,0.7348066298342542,0.9779411764705882,0.8873031424096209,0.7195767195767195
L1,enet,0.7388888888888889,0.9779411764705882,0.8873031424096209,0.7195767195767195
L1,enet,0.7430167597765364,0.9779411764705882,0.8873031424096209,0.7195767195767195
L1,enet,0.7415730337078652,0.9705882352941176,0.8873031424096209,0.7195767195767195
L1,enet,0.7457627118644068,0.9705882352941176,0.8873031424096209,0.7195767195767195
L1,enet,0.75,0.9705882352941176,0.8873031424096209,0.7195767195767195
L1,enet,0.7542857142857143,0.9705882352941176,0.8873031424096209,0.7195767195767195
L1,enet,0.7528735632183908,0.9632352941176471,0.8873031424096209,0.7195767195767195
L1,enet,0.7572254335260116,0.9632352941176471,0.8873031424096209,0.7195767195767195
L1,enet,0.7558139534883721,0.9558823529411765,0.8873031424096209,0.7195767195767195
L1,enet,0.7602339181286549,0.9558823529411765,0.8873031424096209,0.7195767195767195
L1,enet,0.7647058823529411,0.9558823529411765,0.8873031424096209,0.7195767195767195
L1,enet,0.7633136094674556,0.9485294117647058,0.8873031424096209,0.7195767195767195
L1,enet,0.7678571428571429,0.9485294117647058,0.8873031424096209,0.7195767195767195
L1,enet,0.7724550898203593,0.9485294117647058,0.8873031424096209,0.7195767195767195
L1,enet,0.7710843373493976,0.9411764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.7696969696969697,0.9338235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.7682926829268293,0.9264705882352942,0.8873031424096209,0.7195767195767195
L1,enet,0.7730061349693251,0.9264705882352942,0.8873031424096209,0.7195767195767195
L1,enet,0.7777777777777778,0.9264705882352942,0.8873031424096209,0.7195767195767195
L1,enet,0.7763975155279503,0.9191176470588235,0.8873031424096209,0.7195767195767195
L1,enet,0.775,0.9117647058823529,0.8873031424096209,0.7195767195767195
L1,enet,0.779874213836478,0.9117647058823529,0.8873031424096209,0.7195767195767195
L1,enet,0.7784810126582279,0.9044117647058824,0.8873031424096209,0.7195767195767195
L1,enet,0.7834394904458599,0.9044117647058824,0.8873031424096209,0.7195767195767195
