algo,feature,mean_abs_shap,share,scale
xgb,v2_Cave,0.0,0.0,log-odds
xgb,v3_CL,0.0,0.0,log-odds
xgb,v3_V1,0.0,0.0,log-odds
xgb,v3_BASE,0.21190626919269562,0.05953392172498131,log-odds
xgb,v3_IC50,0.9759673476219177,0.2741927546590192,log-odds
xgb,v3_Cave,0.0,0.0,log-odds
cat,age,0.0,0.0,log-odds
cat,female,0.0,0.0,log-odds
cat,weight,0.0,0.0,log-odds
cat,activity,0.0,0.0,log-odds
cat,imm,0.0,0.0,log-odds
cat,v1_alb,0.0,0.0,log-odds
cat,v1_inf,0.3346300603749691,0.17574339278999854,log-odds
cat,v1_plt,0.0,0.0,log-odds
cat,v1_bio,0.0,0.0,log-odds
cat,v2_alb,0.0,0.0,log-odds
cat,v2_inf,0.0,0.0,log-odds
cat,v2_plt,0.0,0.0,log-odds
cat,v2_bio,0.0,0.0,log-odds
cat,v2_bio_change,0.0,0.0,log-odds
cat,v2_conc,0.0,0.0,log-odds
cat,v2_ada,0.0,0.0,log-odds
cat,v3_alb,0.0,0.0,log-odds
cat,v3_inf,0.0,0.0,log-odds
cat,v3_plt,0.0,0.0,log-odds
cat,v3_bio,0.3940710233633673,0.206961020084391,log-odds
cat,v3_bio_change,0.0,0.0,log-odds
cat,v3_conc,0.0,0.0,log-odds
cat,v3_ada,0.0,0.0,log-odds
cat,v1_CL,0.0,0.0,log-odds
cat,v1_V1,0.0,0.0,log-odds
cat,v1_BASE,0.0,0.0,log-odds
cat,v1_IC50,0.24721165913847015,0.12983237568542486,log-odds
cat,v1_Cave,0.0,0.0,log-odds
cat,v2_CL,0.0,0.0,log-odds
cat,v2_V1,0.0,0.0,log-odds
cat,v2_BASE,0.16369778244924246,0.0859719645258173,log-odds
cat,v2_IC50,0.0,0.0,log-odds
cat,v2_Cave,0.0,0.0,log-odds
cat,v3_CL,0.0,0.0,log-odds
cat,v3_V1,0.0,0.0,log-odds
cat,v3_BASE,0.26321407153333554,0.13823663633058933,log-odds
cat,v3_IC50,0.501258709275654,0.26325461058377897,log-odds
cat,v3_Cave,0.0,0.0,log-odds
