tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L2,cat,median,2,2,0.8181818181818181,0.8329094516594516,151,38,6.677678108215332,cv
L2,cat,median,2,3,0.9259259259259259,0.7761423761423761,151,38,6.556238889694214,cv
L2,cat,median,2,4,0.8407407407407407,0.8191708754208754,152,37,6.5919029712677,cv
L3,cat,median,0,0,0.8321428571428571,0.831060606060606,151,38,12.759119987487793,cv
L3,cat,median,0,1,0.8686868686868686,0.864817821067821,151,38,10.998734712600708,cv
L3,cat,median,0,2,0.7441077441077442,0.8638588263588263,151,38,9.997599124908447,cv
L3,cat,median,0,3,0.835016835016835,0.8536766474266474,151,38,13.286085605621338,cv
L3,cat,median,0,4,0.9222222222222222,0.8325637325637326,152,37,10.788733005523682,cv
L3,cat,median,1,0,0.8928571428571428,0.8191077441077441,151,38,12.274964332580566,cv
L3,cat,median,1,1,0.8585858585858586,0.8419793169793169,151,38,12.056902647018433,cv
L3,cat,median,1,2,0.8518518518518519,0.8437890812890813,151,38,14.396285772323608,cv
L3,cat,median,1,3,0.8989898989898989,0.8204425204425205,151,38,10.468396186828613,cv
L3,cat,median,1,4,0.7518518518518518,0.855239898989899,152,37,13.345315217971802,cv
L3,cat,median,2,0,0.8035714285714286,0.8988215488215487,151,38,11.804600477218628,cv
L3,cat,median,2,1,0.8047138047138047,0.8875962000962001,151,38,11.282753705978394,cv
L3,cat,median,2,2,0.8686868686868686,0.8353956228956229,151,38,12.8771493434906,cv
L3,cat,median,2,3,0.936026936026936,0.805465367965368,151,38,14.168026447296143,cv
