threshold,model,treat_all,treat_none,tag
0.05,0.2378167641325536,0.2425508214981899,0.0,L1
0.06,0.23055274119103905,0.2344928515141281,0.0,L1
0.07,0.2233600728224384,0.22626159185298966,0.0,L1
0.08,0.2180814354727398,0.21785139176443524,0.0,L1
0.09,0.21076806791092503,0.20925635211349497,0.0,L1
0.1,0.20634920634920634,0.20047031158142267,0.0,L1
0.11,0.2018904940253255,0.19148683193627014,0.0,L1
0.12,0.19336219336219335,0.1822991822991823,0.0,L1
0.13,0.1823268260049869,0.17290032232560965,0.0,L1
0.14,0.18358557893441613,0.16328288421311676,0.0,L1
0.15,0.18425147836912542,0.15343915343915343,0.0,L1
0.16,0.18493323255228017,0.14336104812295286,0.0,L1
0.17,0.1876075731497418,0.13304009689551857,0.0,L1
0.18,0.1791198864369596,0.12246741515034198,0.0,L1
0.19,0.17982885884120453,0.1116336795349141,0.0,L1
0.2,0.17328042328042326,0.10052910052910052,0.0,L1
0.21,0.1674368762976358,0.08914339294086132,0.0,L1
0.22,0.16198616198616198,0.07746574413241081,0.0,L1
0.23,0.15378272521129663,0.06548477977049405,0.0,L1
0.24,0.14369256474519632,0.053188526872737396,0.0,L1
0.25,0.13227513227513227,0.04056437389770723,0.0,L1
0.26,0.11926211926211926,0.027599027599027603,0.0,L1
0.27,0.11748930927013117,0.014278466333260853,0.0,L1
0.28,0.11228689006466783,0.0005878894767783471,0.0,L1
0.29,0.10306282137268052,-0.013488337431999398,0.0,L1
0.3,0.10582010582010581,-0.027966742252456545,0.0,L1
0.31,0.09907215704317152,-0.042864810980753065,0.0,L1
0.32,0.09492685963274197,-0.05820105820105825,0.0,L1
0.33,0.09121061359867327,-0.07399510384585017,0.0,L1
0.34,0.10373577040243705,-0.09026775693442368,0.0,L1
0.35,0.09849409849409849,-0.10704110704110703,0.0,L1
0.36,0.09325396825396826,-0.12433862433862436,0.0,L1
0.37,0.09347442680776014,-0.14218526916939617,0.0,L1
0.38,0.08533879501621436,-0.16060761222051545,0.0,L1
0.39,0.08916644982218752,-0.17963396651921243,0.0,L1
0.4,0.08465608465608464,-0.199294532627866,0.0,L1
0.41,0.08931934355663171,-0.21962155860460936,0.0,L1
0.42,0.08921729611384785,-0.24064951651158534,0.0,L1
0.43,0.06581267984776756,-0.2624152975030167,0.0,L1
0.44,0.0582010582010582,-0.2849584278155706,0.0,L1
0.45,0.050505050505050504,-0.3083213083213083,0.0,L1
0.46,0.04722712130119537,-0.33254948069762885,0.0,L1
0.47,0.039532794249775384,-0.35769192372965947,0.0,L1
0.48,0.031746031746031744,-0.3838013838013838,0.0,L1
0.49,0.03402842618528893,-0.41093474426807747,0.0,L1
0.5,0.031746031746031744,-0.43915343915343913,0.0,L1
0.51,0.03487744304070834,-0.46852391750350936,0.0,L1
0.52,0.032627865961199286,-0.49911816578483253,0.0,L1
0.53,0.0302825621974558,-0.531014296971744,0.0,L1
0.54,0.017253278122843337,-0.5642972164711295,0.0,L1
0.55,0.02116402116402115,-0.5990593768371548,0.0,L1
0.56,0.026936026936026924,-0.6354016354016354,0.0,L1
0.57,0.021410114433370257,-0.6734342315737663,0.0,L1
0.58,0.014361300075585795,-0.713277903754094,0.0,L1
0.59,0.012517744225061307,-0.7550651696993158,0.0,L1
0.6,0.010582010582010588,-0.7989417989417986,0.0,L1
0.05,0.2578668894458368,0.2425508214981899,0.0,L4
0.06,0.256107171000788,0.2344928515141281,0.0,L4
0.07,0.25214769300790807,0.22626159185298966,0.0,L4
0.08,0.2505175983436853,0.21785139176443524,0.0,L4
0.09,0.24850281993139134,0.20925635211349497,0.0,L4
0.1,0.24573780129335682,0.20047031158142267,0.0,L4
0.11,0.2438023898698056,0.19148683193627014,0.0,L4
0.12,0.24146224146224146,0.1822991822991823,0.0,L4
0.13,0.2440552210667153,0.17290032232560965,0.0,L4
0.14,0.24424756982896517,0.16328288421311676,0.0,L4
0.15,0.24214130096483036,0.15343915343915343,0.0,L4
0.16,0.24111866969009824,0.14336104812295286,0.0,L4
0.17,0.22757697456492637,0.13304009689551857,0.0,L4
0.18,0.22622273841786036,0.12246741515034198,0.0,L4
0.19,0.2195440590502319,0.1116336795349141,0.0,L4
0.2,0.21693121693121692,0.10052910052910052,0.0,L4
0.21,0.21351550465474517,0.08914339294086132,0.0,L4
0.22,0.21286121286121285,0.07746574413241081,0.0,L4
0.23,0.2107469250326393,0.06548477977049405,0.0,L4
0.24,0.20857699805068225,0.053188526872737396,0.0,L4
0.25,0.20634920634920634,0.04056437389770723,0.0,L4
0.26,0.20434720434720433,0.027599027599027603,0.0,L4
0.27,0.20229035297528447,0.014278466333260853,0.0,L4
0.28,0.2001763668430335,0.0005878894767783471,0.0,L4
0.29,0.20232506147999105,-0.013488337431999398,0.0,L4
0.3,0.20483749055177625,-0.027966742252456545,0.0,L4
0.31,0.1947703396978759,-0.042864810980753065,0.0,L4
0.32,0.1901649548708372,-0.05820105820105825,0.0,L4
0.33,0.1884229645423675,-0.07399510384585017,0.0,L4
0.34,0.18662818662818662,-0.09026775693442368,0.0,L4
0.35,0.1794871794871795,-0.10704110704110703,0.0,L4
0.36,0.17228835978835977,-0.12433862433862436,0.0,L4
0.37,0.17031997984378935,-0.14218526916939617,0.0,L4
0.38,0.17153097798259087,-0.16060761222051545,0.0,L4
0.39,0.16957238268713676,-0.17963396651921243,0.0,L4
