tag,algo,slope,intercept
L1,cat,1.0796736683993473,0.14640049691890003
L1,enet,1.060101420681731,0.021234519451543893
L1,rf,1.0647362448869335,0.4611266547778629
L1,xgb,0.8764113268393877,-0.032283724554246794
L2,cat,1.192723327674672,0.1725414529284618
L2,enet,0.9907805001402212,0.024555043846390234
L2,rf,1.2036169251769093,0.07438514665789288
L2,xgb,0.8267598389115118,-0.043343872502933804
L3,cat,1.2446962849840422,0.15205307631392292
L3,enet,1.203263850339351,0.0010147487958329243
L3,rf,1.0979232167091715,0.32490235849213184
L3,xgb,0.7822732571471356,-0.08837677214922858
L4,cat,1.1077833464107167,0.004596514657958632
L4,enet,1.0791550346044685,0.03008799824058996
L4,rf,1.2936755148735795,0.3374755825125439
L4,xgb,0.8634054550423161,-0.21622643274315476
L5,cat,1.2873662752360817,0.017948011984717037
L5,enet,1.0195428209342714,0.039647638094831295
L5,rf,1.1601779506452246,0.20037724497566012
L5,xgb,0.809804149452046,-0.145571884163164
