contrast,algo,repeat,fold,delta
L3->L4,cat,0,3,0.07070707070707072
L3->L4,cat,0,4,0.007407407407407529
L3->L4,cat,1,0,-0.046428571428571375
L3->L4,cat,1,1,0.06734006734006726
L3->L4,cat,1,2,0.07407407407407407
L3->L4,cat,1,3,0.043771043771043905
L3->L4,cat,1,4,0.0370370370370372
L3->L4,cat,2,0,0.05714285714285716
L3->L4,cat,2,1,-0.023569023569023573
L3->L4,cat,2,2,0.08754208754208759
L3->L4,cat,2,3,0.043771043771043794
L3->L4,cat,2,4,0.025925925925925908
L3->L4,enet,0,0,0.09642857142857142
L3->L4,enet,0,1,0.164983164983165
L3->L4,enet,0,2,0.10774410774410781
L3->L4,enet,0,3,0.09427609427609418
L3->L4,enet,0,4,0.06296296296296289
L3->L4,enet,1,0,0.046428571428571375
L3->L4,enet,1,1,0.11111111111111105
L3->L4,enet,1,2,0.09090909090909083
L3->L4,enet,1,3,0.05723905723905731
L3->L4,enet,1,4,0.08518518518518525
L3->L4,enet,2,0,0.11071428571428565
L3->L4,enet,2,1,0.0639730639730639
L3->L4,enet,2,2,0.06060606060606055
L3->L4,enet,2,3,0.08754208754208748
L3->L4,enet,2,4,0.06296296296296311
L3->L4,rf,0,0,0.09285714285714297
L3->L4,rf,0,1,0.06734006734006737
L3->L4,rf,0,2,0.07407407407407407
L3->L4,rf,0,3,0.04040404040404033
L3->L4,rf,0,4,0.022222222222222143
L3->L4,rf,1,0,-0.02499999999999991
L3->L4,rf,1,1,0.03367003367003363
L3->L4,rf,1,2,0.04040404040404044
L3->L4,rf,1,3,0.0572390572390572
L3->L4,rf,1,4,0.02962962962962956
L3->L4,rf,2,0,0.06071428571428561
L3->L4,rf,2,1,0.06734006734006737
L3->L4,rf,2,2,0.04040404040404022
L3->L4,rf,2,3,0.04040404040404033
L3->L4,rf,2,4,0.040740740740740744
L3->L4,xgb,0,0,0.13928571428571423
L3->L4,xgb,0,1,0.06060606060606055
L3->L4,xgb,0,2,0.07070707070707072
L3->L4,xgb,0,3,0.09427609427609418
L3->L4,xgb,0,4,0.007407407407407529
L3->L4,xgb,1,0,0.0071428571428572285
L3->L4,xgb,1,1,0.06734006734006726
L3->L4,xgb,1,2,0.09764309764309764
L3->L4,xgb,1,3,0.09427609427609429
L3->L4,xgb,1,4,0.01851851851851849
L3->L4,xgb,2,0,0.08928571428571408
L3->L4,xgb,2,1,0.05723905723905731
L3->L4,xgb,2,2,0.047138047138047146
L3->L4,xgb,2,3,0.010101010101010055
L3->L4,xgb,2,4,0.029629629629629672
L4->L5,cat,0,0,0.0035714285714285587
L4->L5,cat,0,1,0.013468013468013407
L4->L5,cat,0,2,0.006734006734006703
L4->L5,cat,0,3,-0.023569023569023573
L4->L5,cat,0,4,0.022222222222222143
L4->L5,cat,1,0,0.02857142857142858
L4->L5,cat,1,1,-0.030303030303030165
L4->L5,cat,1,2,0.0033670033670033517
L4->L5,cat,1,3,0.013468013468013407
L4->L5,cat,1,4,-0.011111111111111183
L4->L5,cat,2,0,0.017857142857142683
L4->L5,cat,2,1,-0.01683501683501676
L4->L5,cat,2,2,-0.043771043771043794
L4->L5,cat,2,3,-0.006734006734006703
L4->L5,cat,2,4,0.014814814814814836
L4->L5,enet,0,0,0.0
L4->L5,enet,0,1,0.010101010101010055
L4->L5,enet,0,2,-0.0033670033670034627
L4->L5,enet,0,3,0.0033670033670033517
L4->L5,enet,0,4,0.0
L4->L5,enet,1,0,-0.0071428571428571175
L4->L5,enet,1,1,0.0033670033670033517
L4->L5,enet,1,2,-0.0033670033670033517
L4->L5,enet,1,3,0.0
L4->L5,enet,1,4,-0.0037037037037037646
L4->L5,enet,2,0,0.0
L4->L5,enet,2,1,-0.0033670033670032407
L4->L5,enet,2,2,0.0
L4->L5,enet,2,3,-0.010101010101010055
L4->L5,enet,2,4,0.0037037037037036535
L4->L5,rf,0,0,-0.02857142857142858
L4->L5,rf,0,1,-0.023569023569023684
L4->L5,rf,0,2,-0.047138047138047146
L4->L5,rf,0,3,0.0
L4->L5,rf,0,4,-0.011111111111111072
L4->L5,rf,1,0,0.02499999999999991
L4->L5,rf,1,1,1.1102230246251565e-16
L4->L5,rf,1,2,-0.02020202020202022
L4->L5,rf,1,3,0.006734006734006703
L4->L5,rf,1,4,0.0037037037037035425
L4->L5,rf,2,0,-0.0357142857142857
L4->L5,rf,2,1,-0.06734006734006748
L4->L5,rf,2,2,-0.026936026936026813
L4->L5,rf,2,3,0.026936026936026924
L4->L5,rf,2,4,-0.011111111111111183
L4->L5,xgb,0,0,-0.010714285714285676
L4->L5,xgb,0,1,-0.023569023569023462
L4->L5,xgb,0,2,-0.023569023569023573
L4->L5,xgb,0,3,-0.0033670033670032407
L4->L5,xgb,0,4,-0.014814814814814836
L4->L5,xgb,1,0,-0.010714285714285676
L4->L5,xgb,1,1,-0.07407407407407407
L4->L5,xgb,1,2,0.006734006734006814
L4->L5,xgb,1,3,-0.013468013468013518
L4->L5,xgb,1,4,-0.0037037037037036535
L4->L5,xgb,2,0,0.003571428571428781
L4->L5,xgb,2,1,-0.03703703703703698
L4->L5,xgb,2,2,0.0
L4->L5,xgb,2,3,-0.0033670033670033517
L4->L5,xgb,2,4,0.014814814814814836
